,街道
0,高碑店
1,甘家口
2,安贞
3,牛街
4,西四
5,老山
6,学院路
7,木樨地
8,杨庄
9,南沙滩
10,阜成门
11,岳各庄
12,六铺炕
13,五里店
14,回龙观
15,小西天
16,中央别墅区
17,紫竹桥
18,天宫院南
19,奥林匹克公园
20,北苑
21,西红门
22,和义
23,东关
24,五棵松
25,中关村
26,大兴开发区
27,豆各庄
28,东花市
29,甜水园
30,甘露园
31,厂洼
32,月坛
33,军博
34,北七家
35,后沙峪
36,定慧寺
37,东四
38,右安门外
39,高米店南
40,阎村
41,地安门
42,霍营
43,城关
44,旧宫
45,朝阳门外
46,上地
47,知春路
48,团结湖
49,七里庄
50,永定门
51,天宫院
52,双井
53,洋桥
54,车公庄
55,南邵
56,华威桥
57,苹果园
58,太平桥
59,马家堡
60,郁花园
61,五道口
62,密云其它
63,瀛海
64,花乡
65,燕山
66,乔庄
67,朝阳公园
68,百子湾
69,二里庄
70,天宁寺
71,北京南站
72,交道口
73,丰台其它
74,垡头
75,临河里
76,陶然亭
77,南口
78,三里屯
79,百善镇
80,安定门
81,新街口
82,芍药居
83,青塔
84,四季青
85,六里桥
86,良乡
87,官园
88,刘家窑
89,西直门
90,工体
91,天坛
92,欢乐谷
93,十里河
94,北太平庄
95,观音寺
96,大峪
97,怀柔
98,武夷花园
99,望京
100,颐和园
101,天通苑
102,赵公口
103,惠新西街
104,顺义其它
105,国展
106,宋家庄
107,北关
108,平谷其它
109,右安门内
110,双榆树
111,玉泉路
112,丽泽
113,科技园区
114,新华大街
115,玉泉营
116,李桥
117,农展馆
118,小汤山
119,和平里
120,西罗园
121,红庙
122,立水桥
123,劲松
124,成寿寺
125,万寿路
126,牡丹园
127,西关环岛
128,马坡
129,苏州桥
130,大红门
131,金宝街
132,角门
133,果园
134,长阳
135,黄村北
136,广渠门
137,石景山其它
138,十里堡
139,菜户营
140,西北旺
141,门头沟其它
142,燕莎
143,窦店
144,亚运村小营
145,草桥
146,北大地
147,木樨园
148,北工大
149,东单
150,朝阳其它
151,大山子
152,建国门外
153,八角
154,顺义城
155,城子
156,马甸
157,皂君庙
158,金融街
159,亦庄开发区其它
160,白纸坊
161,蒲黄榆
162,首都机场
163,左安门
164,滨河西区
165,宣武门
166,大兴其它
167,太阳宫
168,白石桥
169,酒仙桥
170,枣园
171,昌平其它
172,怀柔其它
173,马连洼
174,朝阳门内
175,延庆其它
176,海淀其它
177,西单
178,古城
179,双桥
180,世纪城
181,玉桥
182,魏公村
183,三元桥
184,建国门内
185,东直门
186,安宁庄
187,清河
188,灯市口
189,CBD
190,黄村火车站
191,马驹桥
192,西坝河
193,石门营
194,前门
195,沙河
196,石佛营
197,天竺
198,大望路
199,常营
200,定福庄
201,四惠
202,琉璃河
203,公主坟
204,九棵树(家乐福)
205,潘家园
206,田村
207,德胜门
208,广安门
209,海淀北部新区
210,东坝
211,黄村中
212,西二旗
213,冯村
214,亦庄
215,新宫
216,西山
217,马连道
218,十八里店
219,看丹桥
220,通州北苑
221,亚运村
222,健翔桥
223,方庄
224,鼓楼大街
225,鲁谷
226,潞苑
227,西三旗
228,万柳
229,管庄
230,崇文门
231,韩村河
232,圆明园
233,房山其它
234,梨园
235,东大桥
236,通州其它
237,长椿街
238,朝青
239,卢沟桥
